experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-5,0,gdp,gdp.gdp_1.Light,0.082451875,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,gdp,gdp.gdp_1.Light,0.125413127,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,gln-L,gln-L.gln-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,gln-L,gln-L.gln-L_1.Light,0.231585482,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,gln-L,gln-L.gln-L_1.Light,0.347293301,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,gln-L,gln-L.gln-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,gln-L,gln-L.gln-L_1.Light,0.317369338,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,gln-L,gln-L.gln-L_1.Light,0.231130612,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,glu-L,glu-L.glu-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,glu-L,glu-L.glu-L_1.Light,0.038549729,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,glu-L,glu-L.glu-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,glu-L,glu-L.glu-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,glu-L,glu-L.glu-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,glu-L,glu-L.glu-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,glx,glx.glx_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,glyc3p,glyc3p.glyc3p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,glyc3p,glyc3p.glyc3p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,glyc3p,glyc3p.glyc3p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,glyc3p,glyc3p.glyc3p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,glyc3p,glyc3p.glyc3p_1.Light,,mM,t
